,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Popularity,ID,TMDB Rating,Rating Count,Last Episode Rating,Last Air Date,First Air Date,# of Seasons,# of Episodes,Genre,Language,Country,In Production,Origin Network,Similar_1,Similar_2
2104,The Unit,2006,16+,8.1,84%,0,1,0,0,17.931,2321,7.3,70,,2009-05-10,2006-03-07,4,69,,en,US,False,CBS,Lightning Force,SIX
2105,I Love Lucy,1951,all,8.4,,0,1,0,0,20.915,2730,8.2,127,,1957-05-06,1951-10-15,6,180,,en,US,False,CBS,2 Broke Girls,Mad About You
2106,Nashville,2012,7+,7.7,90%,0,1,0,0,35.159,44549,6.3,154,,2018-07-26,2012-10-10,6,124,,en,US,False,ABC,Austin City Limits,Nicky Jam: El Ganador
2107,NYPD Blue,1993,18+,7.5,84%,0,1,1,0,19.541,194,6.9,71,,2005-03-01,1993-09-21,12,261,,en,US,False,ABC,Third Watch,McCloud
2108,Ramy,2019,18+,8.0,97%,0,1,0,0,8.337,87382,8,29,,2020-05-28,2019-04-18,2,20,,ar,US,True,Hulu,,
2109,Don't Trust the B---- in Apartment 23,2012,16+,7.3,85%,0,1,0,0,17.723,39331,6.8,145,,2013-01-15,2012-04-11,2,18,,en,US,False,ABC,Baby Daddy,Friends
2110,MythBusters,2003,7+,8.3,,0,1,0,0,38.55,1428,7.8,261,,2018-02-21,2003-01-23,16,272,,en,US,False,Discovery,Génial!,NOVA
2111,The Goldbergs,2013,7+,8.1,,0,1,0,0,32.063,49009,7.9,174,,2020-05-13,2013-09-24,7,163,,en,US,True,ABC,Everybody Hates Chris,The Middle
2112,Letterkenny,2016,18+,8.7,,0,1,0,0,10.221,65798,8.5,47,,2019-12-25,2016-02-07,8,49,,en,CA,True,Crave,Little Mosque on the Prairie,The Andy Griffith Show
2113,Cougar Town,2009,7+,6.9,89%,0,1,1,0,23.799,18202,6.1,103,,2015-03-31,2009-09-23,6,102,,en,US,False,ABC,The Middle,My Wife and Kids
2114,Regular Show,2010,7+,8.4,,0,1,0,0,120.344,31132,8.6,577,,2017-01-16,2010-09-06,8,255,,en,US,False,Cartoon Network,Outlander,We Bare Bears
2115,Motherland: Fort Salem,2020,16+,6.9,58%,0,1,0,0,13.39,91977,8.3,59,,2020-05-20,2020-03-18,1,10,,en,US,True,Freeform,The Secret Circle,ふらいんぐうぃっち
2116,Bunheads,2012,16+,7.6,100%,0,1,0,0,4.551,42329,7.2,23,,2013-02-25,2012-06-11,1,18,,en,US,False,ABC Family,Dare Me,American Gods
2117,CSI: Crime Scene Investigation,2000,16+,7.6,,0,1,0,0,98.969,1431,7.2,461,,2015-02-15,2000-10-06,15,335,,en,US,False,CBS,CSI: NY,Bones
2118,One Tree Hill,2003,16+,7.6,,0,1,0,0,46.655,269,7.6,187,,2012-04-04,2003-09-23,9,187,,en,US,False,The WB,90210,The O.C.
2119,Afro Samurai,2007,18+,7.7,100%,0,1,0,0,13.048,19544,7.3,138,,2007-02-01,2007-01-04,1,5,,en,US,False,Spike,ダンスインザヴァンパイアバンド,ルパン三世
2120,Graceland,2013,16+,7.7,86%,0,1,0,0,13.315,47318,7.3,64,,2015-09-17,2013-06-06,3,38,,en,US,False,USA Network,Legends,Perception
2121,Scream Queens,2015,16+,7.1,75%,0,1,0,0,153.835,62046,7.8,665,,2016-12-20,2015-09-22,2,23,,en,US,False,FOX,ひぐらしのなく頃に,Bates Motel
2122,Genius,2017,7+,8.4,70%,0,1,0,0,46.558,70128,7.6,99,,2018-06-19,2017-04-25,3,21,,de,US,True,National Geographic,Houdini,Scorpion
2123,The Looming Tower,2018,18+,8.0,88%,0,1,0,0,13.603,70721,7.5,52,,2018-04-18,2018-02-28,1,10,,ar,US,False,Hulu,Manhunt,The Enemy Within
2124,The Promised Neverland,2019,18+,8.8,,0,1,0,0,38.342,83097,9.2,234,,2019-03-26,2019-01-09,2,13,,ja,JP,True,Fuji TV,アカメが斬る!,魔法使いの嫁
2125,Pinky and the Brain,1995,all,7.9,75%,0,1,0,0,9.575,2228,7.7,356,,1998-11-04,1995-09-09,4,95,,en,US,False,The WB,Tom and Jerry Tales,Mutant X
2126,Married... with Children,1987,7+,8.0,,0,1,0,0,39.442,4239,7.6,474,,1997-06-09,1987-04-05,11,258,,en,US,False,FOX,The Middle,Mom
2127,Last Man Standing,2011,16+,7.6,,0,1,0,0,40.954,39297,7.3,182,,2020-04-30,2011-10-11,8,173,,en,US,True,ABC,The Middle,The Wonder Years
2128,Emergence,2019,16+,7.2,94%,0,1,0,0,15.793,91962,7.4,72,,2020-01-28,2019-09-24,1,13,,en,US,False,ABC,バビロン,デッドマン・ワンダーランド
2129,Terriers,2010,18+,8.4,92%,0,1,0,0,4.747,33400,8.3,50,,2010-12-01,2010-09-08,1,13,,en,US,False,FX,Cannon,Mom
2130,UnREAL,2015,18+,7.8,82%,0,1,0,0,24.09,62335,6.4,90,,2018-07-16,2015-06-01,4,38,,en,US,False,Lifetime,Studio 60 on the Sunset Strip,The Mary Tyler Moore Show
2131,Blackadder,1983,7+,8.1,,0,1,1,0,15.59,7246,8,206,,1989-11-02,1983-06-15,4,24,,en,GB,False,BBC One,Upstart Crow,'Allo 'Allo!
2132,The Hitchhiker's Guide to the Galaxy,1981,7+,8.0,67%,0,1,1,0,6.087,2048,7.6,8,,1981-02-09,1981-01-05,1,6,,en,GB,False,BBC Two,ドラゴンボールゼット,アグレッシブ烈子
2133,Witches of East End,2013,16+,7.6,65%,0,1,0,0,18.651,60557,7.4,141,,2014-10-05,2013-10-06,2,23,,en,US,False,Lifetime,Charmed,Salem
2134,The Wonder Years,1988,7+,8.3,,0,1,0,0,34.624,4500,8.2,370,,1993-05-12,1988-01-31,6,115,,en,US,False,ABC,Girl Meets World,Totally Spies!
2135,Robot Chicken,2005,18+,7.7,,0,1,0,0,37.079,709,7.4,200,,2020-07-26,2005-02-20,10,196,,en,US,True,Adult Swim,30 Rock,Futurama
2136,Harlots,2017,18+,7.7,98%,0,1,0,0,14.79,69541,7.6,56,,2019-08-28,2017-03-27,3,24,,en,,,,Poldark,"I, Claudius"
2137,Good Behavior,2016,16+,8.1,78%,0,1,0,0,7.86,64836,7.1,67,,2017-12-17,2016-11-15,2,20,,en,US,False,TNT,American Gods,White Collar
2138,The Golden Girls,1985,7+,7.9,,0,1,0,0,41.01,1678,7.7,160,,1992-05-09,1985-09-14,7,180,,en,US,False,NBC,2 Broke Girls,Younger
2139,RuPaul's Drag Race All Stars,2012,16+,8.6,70%,0,1,0,0,11.003,67482,8.6,32,,2020-07-24,2012-10-22,5,41,,en,US,True,Logo,RuPaul's Drag Race,RuPaul's Drag Race: Untucked
2140,Will & Grace,1998,16+,7.2,,0,1,0,0,51.706,4454,7,227,,2006-05-18,1998-09-21,8,194,,en,US,False,NBC,Sex and the City,Will & Grace
2141,The Outer Limits,1963,7+,8.2,91%,0,1,0,0,12.127,21567,7.9,81,,1965-01-16,1963-09-16,2,49,,en,US,False,ABC,Scorpion,"Love, Death & Robots"
2142,Salem,2014,18+,7.1,82%,0,1,0,0,15.884,60905,7.4,197,,2017-01-25,2014-04-20,3,36,,en,US,False,WGN America,Penny Dreadful,Charmed
2143,The Hot Zone,2019,16+,7.3,90%,0,1,0,0,13.854,86799,7,30,,2019-05-29,2019-05-27,1,6,,en,US,False,National Geographic,Hap and Leonard,Pride and Prejudice
2144,Baskets,2016,18+,7.5,92%,0,1,0,0,9.253,64551,7,71,,2019-08-22,2016-01-21,4,40,,en,US,False,FX,The Wayans Bros.,Malcolm in the Middle
2145,Make It or Break It,2009,16+,7.5,79%,0,1,0,0,10.807,17518,7.8,33,,2012-05-14,2009-06-22,3,48,,en,US,False,ABC Family,15/Love,Degrassi
2146,The Great,2020,,7.8,81%,0,1,0,0,33.291,93812,8.4,126,,2020-05-15,2020-05-15,1,10,,en,US,True,Hulu,Catherine the Great,Isabel
2147,Sliders,1995,7+,7.4,,0,1,0,0,30.634,1649,7.5,216,,2000-02-04,1995-03-22,5,88,,en,US,False,FOX,幼女戦記,V
2148,The Amazing World of Gumball,2011,7+,8.2,,0,1,0,0,91.801,37606,8.2,202,,2019-06-24,2011-05-02,6,240,,en,GB,False,Cartoon Network,Garfield and Friends,Tom and Jerry Tales
2149,A Million Little Things,2018,16+,7.9,53%,0,1,0,0,17.197,81499,7.7,38,,2020-03-26,2018-09-26,2,36,,en,US,True,ABC,St. Elsewhere,Fleabag
2150,Man Seeking Woman,2015,18+,7.7,93%,0,1,0,0,6.385,61871,6.6,53,,2017-03-08,2015-01-14,3,30,,en,US,False,FX,Will & Grace,Sex and the City
2151,Wu-Tang: An American Saga,2019,18+,8.3,80%,0,1,0,0,6.064,90870,8.1,17,,2019-10-23,2019-09-04,1,10,,en,US,True,Hulu,,
2152,Ally McBeal,1997,16+,6.8,61%,0,1,0,0,7.165,1480,6.2,135,,2002-05-20,1997-09-08,5,112,,en,US,False,FOX,The Practice,Boston Legal
2153,Siren,2018,16+,7.0,,0,1,0,0,104.222,71886,7.7,1655,,2020-05-28,2018-03-29,3,36,,en,US,False,Freeform,Mako Mermaids: An H2O Adventure,푸른 바다의 전설
2154,The Detour,2016,7+,7.7,90%,0,1,0,0,11.896,66186,7.3,62,,2019-08-20,2016-04-11,4,42,,en,US,False,TBS,The Middle,The Wonder Years
2155,Kaguya-sama: Love is War,2019,16+,8.1,,0,1,0,0,34.426,83121,9.1,170,,2020-06-27,2019-01-12,2,24,,ja,JP,False,Tokyo MX,ダンスインザヴァンパイアバンド,ハイスコアガール
2156,My Mad Fat Diary,2013,16+,8.4,95%,0,1,0,0,63.166,60616,8,44,,2015-07-06,2013-01-14,3,16,,en,GB,False,E4,The O.C.,Degrassi
2157,High School DxD,2012,18+,7.6,,0,1,0,0,71.171,45950,8.7,633,,2018-07-03,2012-01-06,4,49,,ja,JP,False,AT-X,いちばんうしろの大魔王,おまもりひまり
2158,Face Off,2011,7+,8.2,,0,1,0,0,12.43,35370,7.4,53,,2018-08-07,2011-01-26,13,162,,en,US,False,Syfy,American Idol,The Bachelor
2159,Mom,2013,16+,7.2,,0,1,0,0,51.796,49011,7,291,,2020-04-16,2013-09-23,7,152,,en,US,True,CBS,The Middle,Married... with Children
2160,Full House,1987,all,6.7,,0,1,0,0,67.205,4313,7.2,411,,1995-05-23,1987-09-22,8,192,,en,US,False,ABC,Raising Hope,The Wonder Years
2161,ER,1994,16+,7.7,,0,1,0,0,34.239,4588,7.4,225,,2009-04-02,1994-09-19,15,332,,en,US,False,NBC,Chicago Hope,The Night Shift
2162,PEN15,2019,18+,7.9,93%,0,1,0,0,9.569,85702,8.5,11,,2019-02-08,2019-02-08,2,17,,en,US,True,Hulu,,
